"iteration","Bx","By","EC"
5308,0.4512665157,-0.4440534318,0
5309,0.4498682653,-0.4754457714,0
5310,0.4630048896,-0.4797692915,0
5311,0.456545423,-0.4625329413,0
5312,0.4727817,-0.4792302896,0
5313,0.4561940231,-0.49175484,0
5314,0.4492417592,-0.4872031783,0
5315,0.4405335128,-0.4586937944,0
5316,0.4525405188,-0.4965702385,0
5317,0.4399558986,-0.4831696897,0
5318,0.4524152066,-0.4844227558,0
5319,0.4536025377,-0.4769679338,0
5320,0.4183168846,-0.4607199515,0
5321,0.4423025206,-0.4746635426,0
5322,0.4411637845,-0.4629314049,0
5323,0.4615900517,-0.4462675364,0
5324,0.4509363362,-0.4681719415,0
5325,0.4444813726,-0.4657535295,0
5326,0.4297262668,-0.4586508106,0
5327,0.4758862572,-0.4672974527,0
5328,0.470270702,-0.4545922222,0
5329,0.4483353172,-0.4619679581,0
5330,0.4544527434,-0.446132455,0
5331,0.4618006246,-0.4452829963,0
5332,0.4616600458,-0.4727591886,0
5333,0.4601446555,-0.4610582491,0
5334,0.4583982051,-0.4534512647,0
5335,0.4616951358,-0.4684028645,0
5336,0.4607322639,-0.4515778338,0
5337,0.4602885792,-0.4438701895,0
5338,0.4566423753,-0.4734882356,0
5339,0.435018624,-0.4485369753,0
5340,0.4514326699,-0.4640972454,0
5341,0.4610118722,-0.4484164809,0
5342,0.4633630124,-0.4772319536,0
5343,0.4636888519,-0.4585601443,0
5344,0.440670139,-0.4617409413,0
5345,0.4491316351,-0.4447836549,0
5346,0.4599385392,-0.4746362598,0
5347,0.4825307144,-0.4688907783,0
5348,0.4495135088,-0.4250556147,0
5349,0.4611817848,-0.4558610606,0
5350,0.4755134635,-0.43722554,0
5351,0.4735973848,-0.4409404207,0
5352,0.4735587961,-0.44132057,0
5353,0.4834781747,-0.453281453,0
5354,0.4831133899,-0.4702410168,0
5355,0.4808203775,-0.4736375556,0
5356,0.4631896486,-0.4600687131,0
5357,0.483186856,-0.465282181,0
5358,0.4797314037,-0.4572641016,0
5359,0.4690927922,-0.4430783537,0
5360,0.4830007797,-0.4411363168,0
5361,0.5011801524,-0.4463376513,0
5362,0.4766875483,-0.4472955933,0
5363,0.4783545028,-0.4584585712,0
5364,0.4968073592,-0.4570626846,0
5365,0.4819311101,-0.4399441196,0
5366,0.462710825,-0.4487829058,0
5367,0.4641198062,-0.432996475,0
5368,0.4814515499,-0.4407887096,0
5369,0.4618298976,-0.45754777,0
5370,0.4691784174,-0.4532224189,0
5371,0.4475052669,-0.4463959923,0
5372,0.4605641657,-0.4514615701,0
5373,0.4688173623,-0.4669211692,0
5374,0.4598183765,-0.4454623885,0
5375,0.4867755176,-0.4654158144,0
5376,0.457176278,-0.4215269972,0
5377,0.4530798989,-0.4506206575,0
5378,0.4596747315,-0.4418311603,0
5379,0.4689024157,-0.4273380129,0
5380,0.4659308206,-0.4292584719,0
5381,0.469466226,-0.4306249403,0
5382,0.4741744005,-0.4640456985,0
5383,0.4364566526,-0.4148515053,0
5384,0.4622641829,-0.4570368692,0
5385,0.4692304879,-0.4404166231,0
5386,0.4612394315,-0.4355379217,0
5387,0.4590085464,-0.4685655778,0
5388,0.4676097938,-0.4535851548,0
5389,0.4591658764,-0.455627438,0
5390,0.493278004,-0.442980965,0
5391,0.4830535869,-0.4473994682,0
5392,0.5053868157,-0.4510571485,0
5393,0.4979198133,-0.4621274604,0
5394,0.4915784725,-0.4728153005,0
5395,0.4913926489,-0.475324949,0
5396,0.4960869156,-0.4558631408,0
5397,0.5141390985,-0.4718776606,0
5398,0.4794683263,-0.4572235721,0
5399,0.477977335,-0.4534170858,0
5400,0.4682952075,-0.4266094801,0
5401,0.4917710249,-0.4619663548,0
5402,0.4930580415,-0.457783913,0
5403,0.4808173257,-0.4702745319,0
5404,0.4936389949,-0.4585755975,0
5405,0.4818748933,-0.4733382909,0
5406,0.4765213139,-0.4781759522,0
5407,0.4800864176,-0.4581887828,0
5408,0.4670633845,-0.4630675696,0
5409,0.4577622053,-0.4790567872,0
5410,0.4860796152,-0.4381394237,0
5411,0.4693465692,-0.459049049,0
5412,0.4848928255,-0.4636415921,0
5413,0.4712423653,-0.4764405235,0
5414,0.480542791,-0.4612963178,0
5415,0.4686907638,-0.4793986781,0
5416,0.4639330561,-0.4587770165,0
5417,0.4563519271,-0.4714888162,0
5418,0.4747717892,-0.4705345711,0
5419,0.4606005096,-0.4534405607,0
5420,0.469700068,-0.4580953692,0
5421,0.4912723403,-0.4551786745,0
5422,0.4623210273,-0.4338674008,0
5423,0.470169413,-0.4451004823,0
5424,0.4539363887,-0.4590518998,0
5425,0.4589806423,-0.4651916352,0
5426,0.4361087471,-0.4336018495,0
5427,0.4432603078,-0.4468109607,0
5428,0.4533318443,-0.4343045429,0
5429,0.4351996753,-0.4438637733,0
5430,0.4241088806,-0.4571242705,0
5431,0.4612569925,-0.4414333233,0
5432,0.4425591096,-0.4391945088,0
5433,0.420746197,-0.4487840929,0
5434,0.4251276637,-0.4500466672,0
5435,0.4288222688,-0.4489222976,0
5436,0.4393497314,-0.4766866712,0
5437,0.4623580166,-0.4552604277,0
5438,0.4728505674,-0.4432761249,0
5439,0.4507949444,-0.4590616266,0
5440,0.4684607323,-0.4880411535,0
5441,0.4680772536,-0.4609160718,0
5442,0.4571314347,-0.4566461467,0
5443,0.4565987425,-0.4797023894,0
5444,0.4308269071,-0.4495868629,0
5445,0.4357675933,-0.4474958984,0
5446,0.4823844944,-0.4491419889,0
5447,0.4651531968,-0.4641903562,0
5448,0.4824655123,-0.4618625515,0
5449,0.4603071709,-0.455451062,0
5450,0.4580397689,-0.4500594455,0
5451,0.4655824093,-0.4641549877,0
5452,0.4744033644,-0.4818246101,0
5453,0.4775651805,-0.4884850753,0
5454,0.4829342839,-0.4834841964,0
5455,0.4731026786,-0.4571634136,0
5456,0.4784090698,-0.4705176224,0
5457,0.4637625771,-0.4930301907,0
5458,0.4595586318,-0.4889326335,0
5459,0.4630928588,-0.4761424301,0
5460,0.4655601389,-0.491207948,0
5461,0.4711204424,-0.4726331023,0
5462,0.4540316423,-0.5202860067,0
5463,0.4531034831,-0.484028052,0
5464,0.4694772758,-0.4532002132,0
5465,0.4419513692,-0.4546040117,0
5466,0.4438607247,-0.4781785655,0
5467,0.4782232644,-0.4399897512,0
